Year,Team,TS%
2021,Boston Celtics*,0.578
2021,Phoenix Suns*,0.581
2021,Utah Jazz*,0.589
2021,Memphis Grizzlies*,0.553
2021,Golden State Warriors*,0.582
2021,Miami Heat*,0.584
2021,Dallas Mavericks*,0.572
2021,Milwaukee Bucks*,0.58
2021,Philadelphia 76ers*,0.578
2021,Minnesota Timberwolves*,0.573
2021,Denver Nuggets*,0.59
2021,Toronto Raptors*,0.543
2021,Cleveland Cavaliers,0.571
2021,Atlanta Hawks*,0.581
2021,Brooklyn Nets*,0.576
2021,Charlotte Hornets,0.572
2021,San Antonio Spurs,0.556
2021,Los Angeles Clippers,0.564
2021,New York Knicks,0.55
2021,Chicago Bulls*,0.579
2021,New Orleans Pelicans*,0.557
2021,Los Angeles Lakers,0.567
2021,Washington Wizards,0.568
2021,Indiana Pacers,0.564
2021,Sacramento Kings,0.561
2021,Detroit Pistons,0.533
2021,Orlando Magic,0.538
2021,Oklahoma City Thunder,0.53
2021,Houston Rockets,0.565
2021,Portland Trail Blazers,0.55
2020,Utah Jazz*,0.597
2020,Los Angeles Clippers*,0.599
2020,Phoenix Suns*,0.597
2020,Milwaukee Bucks*,0.593
2020,Philadelphia 76ers*,0.579
2020,Denver Nuggets*,0.588
2020,Brooklyn Nets*,0.61
2020,Los Angeles Lakers*,0.569
2020,Dallas Mavericks*,0.582
2020,New York Knicks*,0.559
2020,Atlanta Hawks*,0.581
2020,Portland Trail Blazers*,0.577
2020,Boston Celtics*,0.574
2020,Golden State Warriors,0.583
2020,Memphis Grizzlies*,0.56
2020,Miami Heat*,0.581
2020,Indiana Pacers,0.575
2020,New Orleans Pelicans,0.57
2020,Toronto Raptors,0.567
2020,Chicago Bulls,0.575
2020,San Antonio Spurs,0.554
2020,Washington Wizards*,0.569
2020,Charlotte Hornets,0.564
2020,Sacramento Kings,0.578
2020,Detroit Pistons,0.556
2020,Minnesota Timberwolves,0.555
2020,Houston Rockets,0.553
2020,Cleveland Cavaliers,0.543
2020,Orlando Magic,0.527
2020,Oklahoma City Thunder,0.539
2019,Utah Jazz*,0.597
2019,Los Angeles Clippers*,0.599
2019,Phoenix Suns*,0.597
2019,Milwaukee Bucks*,0.593
2019,Philadelphia 76ers*,0.579
2019,Denver Nuggets*,0.588
2019,Brooklyn Nets*,0.61
2019,Los Angeles Lakers*,0.569
2019,Dallas Mavericks*,0.582
2019,New York Knicks*,0.559
2019,Atlanta Hawks*,0.581
2019,Portland Trail Blazers*,0.577
2019,Boston Celtics*,0.574
2019,Golden State Warriors,0.583
2019,Memphis Grizzlies*,0.56
2019,Miami Heat*,0.581
2019,Indiana Pacers,0.575
2019,New Orleans Pelicans,0.57
2019,Toronto Raptors,0.567
2019,Chicago Bulls,0.575
2019,San Antonio Spurs,0.554
2019,Washington Wizards*,0.569
2019,Charlotte Hornets,0.564
2019,Sacramento Kings,0.578
2019,Detroit Pistons,0.556
2019,Minnesota Timberwolves,0.555
2019,Houston Rockets,0.553
2019,Cleveland Cavaliers,0.543
2019,Orlando Magic,0.527
2019,Oklahoma City Thunder,0.539
2018,Milwaukee Bucks*,0.583
2018,Golden State Warriors*,0.596
2018,Toronto Raptors*,0.579
2018,Utah Jazz*,0.572
2018,Houston Rockets*,0.581
2018,Boston Celtics*,0.567
2018,Portland Trail Blazers*,0.568
2018,Denver Nuggets*,0.558
2018,Indiana Pacers*,0.561
2018,Oklahoma City Thunder*,0.545
2018,Philadelphia 76ers*,0.574
2018,San Antonio Spurs*,0.572
2018,Los Angeles Clippers*,0.575
2018,Orlando Magic*,0.55
2018,Brooklyn Nets*,0.556
2018,Detroit Pistons*,0.544
2018,Miami Heat,0.542
2018,Sacramento Kings,0.554
2018,Charlotte Hornets,0.554
2018,New Orleans Pelicans,0.563
2018,Dallas Mavericks,0.555
2018,Minnesota Timberwolves,0.552
2018,Los Angeles Lakers,0.554
2018,Memphis Grizzlies,0.548
2018,Washington Wizards,0.567
2018,Atlanta Hawks,0.555
2018,Chicago Bulls,0.541
2018,New York Knicks,0.529
2018,Phoenix Suns,0.552
2018,Cleveland Cavaliers,0.54
2017,Houston Rockets*,0.59
2017,Toronto Raptors*,0.575
2017,Golden State Warriors*,0.603
2017,Utah Jazz*,0.564
2017,Philadelphia 76ers*,0.568
2017,Boston Celtics*,0.552
2017,Oklahoma City Thunder*,0.546
2017,San Antonio Spurs*,0.543
2017,Portland Trail Blazers*,0.549
2017,Minnesota Timberwolves*,0.566
2017,Denver Nuggets,0.57
2017,Indiana Pacers*,0.557
2017,New Orleans Pelicans*,0.573
2017,Cleveland Cavaliers*,0.584
2017,Washington Wizards*,0.56
2017,Miami Heat*,0.551
2017,Charlotte Hornets,0.549
2017,Los Angeles Clippers,0.564
2017,Detroit Pistons,0.543
2017,Milwaukee Bucks*,0.571
2017,Los Angeles Lakers,0.548
2017,Dallas Mavericks,0.544
2017,New York Knicks,0.544
2017,Brooklyn Nets,0.551
2017,Orlando Magic,0.545
2017,Atlanta Hawks,0.547
2017,Memphis Grizzlies,0.539
2017,Chicago Bulls,0.529
2017,Sacramento Kings,0.529
2017,Phoenix Suns,0.532
2017,Golden State Warriors*,0.597
2016,San Antonio Spurs*,0.564
2016,Houston Rockets*,0.583
2016,Toronto Raptors*,0.561
2016,Los Angeles Clippers*,0.574
2016,Utah Jazz*,0.563
2016,Cleveland Cavaliers*,0.58
2016,Boston Celtics*,0.567
2016,Washington Wizards*,0.564
2016,Miami Heat,0.541
2016,Oklahoma City Thunder*,0.54
2016,Memphis Grizzlies*,0.535
2016,Denver Nuggets,0.568
2016,Chicago Bulls*,0.53
2016,Charlotte Hornets,0.547
2016,Indiana Pacers*,0.558
2016,Milwaukee Bucks*,0.565
2016,Portland Trail Blazers*,0.559
2016,Atlanta Hawks*,0.541
2016,Detroit Pistons,0.521
2016,Minnesota Timberwolves,0.555
2016,New Orleans Pelicans,0.539
2016,Dallas Mavericks,0.541
2016,New York Knicks,0.534
2016,Sacramento Kings,0.556
2016,Phoenix Suns,0.538
2016,Philadelphia 76ers,0.539
2016,Brooklyn Nets,0.551
2016,Orlando Magic,0.524
2016,Los Angeles Lakers,0.537
2015,San Antonio Spurs*,0.564
2015,Golden State Warriors*,0.593
2015,Oklahoma City Thunder*,0.565
2015,Cleveland Cavaliers*,0.558
2015,Toronto Raptors*,0.552
2015,Los Angeles Clippers*,0.556
2015,Atlanta Hawks*,0.552
2015,Boston Celtics*,0.531
2015,Charlotte Hornets*,0.545
2015,Utah Jazz,0.54
2015,Miami Heat*,0.545
2015,Indiana Pacers*,0.536
2015,Portland Trail Blazers*,0.548
2015,Detroit Pistons*,0.522
2015,Houston Rockets*,0.553
2015,Dallas Mavericks*,0.544
2015,Washington Wizards,0.544
2015,Chicago Bulls,0.526
2015,Orlando Magic,0.533
2015,Sacramento Kings,0.546
2015,Memphis Grizzlies*,0.524
2015,New York Knicks,0.527
2015,Denver Nuggets,0.531
2015,Minnesota Timberwolves,0.549
2015,New Orleans Pelicans,0.537
2015,Milwaukee Bucks,0.537
2015,Phoenix Suns,0.526
2015,Brooklyn Nets,0.527
2015,Los Angeles Lakers,0.509
2015,Philadelphia 76ers,0.519
2014,Golden State Warriors*,0.571
2014,Los Angeles Clippers*,0.565
2014,San Antonio Spurs*,0.555
2014,Atlanta Hawks*,0.563
2014,Cleveland Cavaliers*,0.557
2014,Portland Trail Blazers*,0.544
2014,Houston Rockets*,0.548
2014,Memphis Grizzlies*,0.531
2014,Toronto Raptors*,0.553
2014,Chicago Bulls*,0.536
2014,Dallas Mavericks*,0.55
2014,Oklahoma City Thunder,0.532
2014,New Orleans Pelicans*,0.537
2014,Washington Wizards*,0.534
2014,Milwaukee Bucks*,0.536
2014,Indiana Pacers,0.523
2014,Utah Jazz,0.531
2014,Boston Celtics*,0.523
2014,Phoenix Suns,0.537
2014,Detroit Pistons,0.515
2014,Miami Heat,0.54
2014,Brooklyn Nets*,0.529
2014,Charlotte Hornets,0.498
2014,Denver Nuggets,0.518
2014,Sacramento Kings,0.542
2014,Orlando Magic,0.524
2014,Los Angeles Lakers,0.513
2014,Minnesota Timberwolves,0.517
2014,Philadelphia 76ers,0.494
2014,New York Knicks,0.508